mod,nAg,rRep,rOr,rAt,CCO,isolated,avgA2A
M,8,0.01,0.12,0.15,4,0.25,0.350675945284359
M,8,0.01,0.12,0.15,6,0,0.103091258781525
M,8,0.01,0.12,0.15,5,0,0.261957414506242
M,8,0.01,0.12,0.15,4,0,0.354155372142331
M,8,0.01,0.12,0.15,4,0.25,0.187136707254131
M,8,0.01,0.12,0.15,8,0,0.035630301822214
M,8,0.01,0.12,0.15,4,0.125,0.385940040526504
M,8,0.01,0.12,0.15,3,0.25,0.147990824636917
M,8,0.01,0.12,0.15,8,0,0.070792582138166
M,8,0.01,0.12,0.15,8,0,0.019069692191207
M,8,0.01,0.12,0.15,5,0.375,0.300949278102802
M,8,0.01,0.12,0.15,8,0,0.079177102164344
M,8,0.01,0.12,0.15,5,0,0.27940320180896
M,8,0.01,0.12,0.15,4,0.25,0.248070355704121
M,8,0.01,0.12,0.15,4,0.125,0.279789280002345
M,8,0.01,0.12,0.15,8,0,0.088792005544099
M,8,0.01,0.12,0.15,5,0,0.261577478186662
M,8,0.01,0.12,0.15,4,0,0.358322649632157
M,8,0.01,0.12,0.15,5,0.125,0.286759928558106
M,8,0.01,0.12,0.15,4,0,0.363950849204281
M,8,0.01,0.12,0.15,4,0,0.428843403588433
M,8,0.01,0.12,0.15,4,0,0.113490174683346
M,8,0.01,0.12,0.15,3,0.25,0.356949904899073
M,8,0.01,0.12,0.15,4,0,0.327848376611152
M,8,0.01,0.12,0.15,8,0,0.022560513132539
M,8,0.01,0.12,0.15,8,0,0.069611740126185
M,8,0.01,0.12,0.15,4,0,0.318888706260083
M,8,0.01,0.12,0.15,3,0.25,0.120014476994618
M,8,0.01,0.12,0.15,5,0,0.250897069753739
M,8,0.01,0.12,0.15,8,0,0.051831760816086
M,8,0.01,0.12,0.15,4,0.125,0.409680062370973
M,8,0.01,0.12,0.15,8,0,0.025492470522173
M,8,0.01,0.12,0.15,6,0,0.162368771478614
M,8,0.01,0.12,0.15,5,0,0.253801634345621
M,8,0.01,0.12,0.15,4,0.5,0.342968334427007
M,8,0.01,0.12,0.15,4,0.125,0.22655032677248
M,8,0.01,0.12,0.15,6,0,0.266678702306175
M,8,0.01,0.12,0.15,3,0,0.294353886701231
M,8,0.01,0.12,0.15,5,0.125,0.266937924084813
M,8,0.01,0.12,0.15,3,0.25,0.39873578144152
M,8,0.01,0.12,0.15,8,0,0.039709198847727
M,8,0.01,0.12,0.15,5,0,0.199920013412757
M,8,0.01,0.12,0.15,3,0.25,0.136116316024302
M,8,0.01,0.12,0.15,8,0,0.057384232965641
M,8,0.01,0.12,0.15,5,0.125,0.367977434188309
M,8,0.01,0.12,0.15,5,0,0.36667888644214
M,8,0.01,0.12,0.15,4,0.125,0.273251984916322
M,8,0.01,0.12,0.15,7,0.125,0.07159426676198
M,8,0.01,0.12,0.15,7,0.125,0.053584420964272
M,8,0.01,0.12,0.15,8,0,0.068815931819115
M,8,0.01,0.12,0.15,6,0,0.16407521982519
M,8,0.01,0.12,0.15,6,0,0.250002541646456
M,8,0.01,0.12,0.15,3,0.375,0.343534242672319
M,8,0.01,0.12,0.15,5,0,0.325176354092345
M,8,0.01,0.12,0.15,5,0,0.307822389705265
M,8,0.01,0.12,0.15,8,0,0.088808736619149
M,8,0.01,0.12,0.15,7,0.125,0.125065923251299
M,8,0.01,0.12,0.15,7,0.125,0.043963306376357
M,8,0.01,0.12,0.15,6,0,0.321337444530907
T2,12,0.01,0.12,0.15,10,0,0.123660041981367
T2,12,0.01,0.12,0.15,11,0,0.037380105481236
T2,12,0.01,0.12,0.15,12,0,0.041432751380318
T2,12,0.01,0.12,0.15,12,0,0.042969438034767
T2,12,0.01,0.12,0.15,12,0,0.081031208843395
T2,12,0.01,0.12,0.15,12,0,0.05960288771963
T2,12,0.01,0.12,0.15,11,0,0.032985032531848
T2,12,0.01,0.12,0.15,10,0,0.201430380590288
T2,12,0.01,0.12,0.15,8,0,0.33414100114215
T2,12,0.01,0.12,0.15,12,0,0.117270181769779
T2,12,0.01,0.12,0.15,12,0,0.023936306864616
T2,12,0.01,0.12,0.15,11,0,0.082053031645738
T2,12,0.01,0.12,0.15,10,0,0.054602498205133
T2,12,0.01,0.12,0.15,8,0,0.050851487930208
T2,12,0.01,0.12,0.15,11,0,0.038679729081748
T2,12,0.01,0.12,0.15,11,0,0.05651790934557
T2,12,0.01,0.12,0.15,9,0,0.062592961178662
T2,12,0.01,0.12,0.15,6,0,0.342078730782995
T2,12,0.01,0.12,0.15,7,0,0.046399875528568
T2,12,0.01,0.12,0.15,11,0,0.071427955605291
T2,12,0.01,0.12,0.15,12,0,0.029629908259679
T2,12,0.01,0.12,0.15,10,0,0.041986966322557
T2,12,0.01,0.12,0.15,7,0,0.327836348627028
T2,12,0.01,0.12,0.15,10,0,0.050977781734607
T2,12,0.01,0.12,0.15,12,0,0.068921752706381
T2,12,0.01,0.12,0.15,12,0,0.105668870320615
T2,12,0.01,0.12,0.15,9,0,0.268839983896936
T2,12,0.01,0.12,0.15,11,0,0.04615165734148
T2,12,0.01,0.12,0.15,9,0,0.063513282058565
T2,12,0.01,0.12,0.15,12,0,0.056145589681713
T2,12,0.01,0.12,0.15,10,0,0.085356727198296
T2,12,0.01,0.12,0.15,7,0,0.06047972715993
T2,12,0.01,0.12,0.15,9,0,0.070693202802185
T2,12,0.01,0.12,0.15,9,0,0.129455791693037
T2,12,0.01,0.12,0.15,10,0,0.033220529386174
T2,12,0.01,0.12,0.15,7,0,0.255205156634587
T2,12,0.01,0.12,0.15,11,0,0.125766846366198
T2,12,0.01,0.12,0.15,7,0,0.285970362636846
T2,12,0.01,0.12,0.15,9,0,0.037726279880744
T2,12,0.01,0.12,0.15,8,0,0.203962189191601
T2,12,0.01,0.12,0.15,6,0,0.343483378357147
T2,12,0.01,0.12,0.15,12,0,0.027160442153944
T2,12,0.01,0.12,0.15,12,0,0.067663122943883
T2,12,0.01,0.12,0.15,7,0,0.32214509742617
T2,12,0.01,0.12,0.15,12,0,0.112748465120757
T2,12,0.01,0.12,0.15,8,0,0.30099308213519
T2,12,0.01,0.12,0.15,10,0,0.186721676870089
T2,12,0.01,0.12,0.15,11,0,0.038948977581347
T2,12,0.01,0.12,0.15,12,0,0.033634083454939
T2,12,0.01,0.12,0.15,9,0,0.073193771276442
T2,12,0.01,0.12,0.15,11,0,0.135269626596374
T2,12,0.01,0.12,0.15,12,0,0.018291157979137
T2,12,0.01,0.12,0.15,12,0,0.067711377270162
T2,12,0.01,0.12,0.15,12,0,0.025037686582008
T2,12,0.01,0.12,0.15,11,0,0.078144988607956
T2,12,0.01,0.12,0.15,11,0,0.013540914058517
T2,12,0.01,0.12,0.15,12,0,0.065160262438262
T2,12,0.01,0.12,0.15,10,0,0.078197286812746
T2,12,0.01,0.12,0.15,9,0,0.284221412580439
T2,12,0.01,0.12,0.15,12,0,0.058043499643033
T2,12,0.01,0.12,0.15,12,0,0.07526463673558
T2,12,0.01,0.12,0.15,11,0,0.043010404211532
T2,12,0.01,0.12,0.15,12,0,0.089036094762877
T2,12,0.01,0.12,0.15,12,0,0.019894408339151
T2,12,0.01,0.12,0.15,12,0,0.08013915521344
T2,12,0.01,0.12,0.15,12,0,0.118899769562643
T2,12,0.01,0.12,0.15,8,0,0.30229928781358
T2,12,0.01,0.12,0.15,11,0,0.068147912556932
T2,12,0.01,0.12,0.15,12,0,0.141937369930092
T2,12,0.01,0.12,0.15,11,0,0.052132155864471
